Situation,Chapters_Verses
Anger,"Chapter 2 - Text 56, 62, 63; Chapter 5 - Text 26; Chapter 16 - Text 2, 3"
Feeling Sinful,"Chapter 4 - Text 36, 37; Chapter 5 - Text 10; Chapter 9 - Text 30; Chapter 18 - Text 66"
Practising Forgiveness,"Chapter 1 - Text 44; Chapter 12 - Text 13, 14; Chapter 16 - Text 3"
Pride,"Chapter 16 - Text 4, 13, 15; Chapter 18 - Text 58"
Death of a Loved One,"Chapter 2 - Text 13, 20, 22, 27"
Seeking Peace,"Chapter 2 - Text 66, 71; Chapter 4 - Text 39; Chapter 8 - Text 28"
Lust,"Chapter 3 - Text 37, 41; Chapter 5 - Text 22; Chapter 16 - Text 21"
Uncontrolled Mind,"Chapter 6 - Text 5, 6, 26, 35"
Dealing with Envy,"Chapter 12 - Text 13; Chapter 16 - Text 14, 18; Chapter 18 - Text 71"
Discriminated,"Chapter 5 - Text 18, 19; Chapter 9 - Text 29"
Laziness,"Chapter 3 - Text 8, 20; Chapter 16 - Text 16; Chapter 18 - Text 39"
Loneliness,Chapter 6 - Text 30; Chapter 13 - Text 27; Chapter 18 - Text 18
Depression,"Chapter 2 - Text 3, 14, 21"
Confusion,Chapter 2 - Text 7; Chapter 3 - Text 2; Chapter 18 - Text 61
Fear,Chapter 4 - Text 10; Chapter 11 - Text 50; Chapter 18 - Text 30
Greed,"Chapter 16 - Text 17, 21; Chapter 17 - Text 25"
Demotivated,"Chapter 11 - Text 33; Chapter 18 - Text 48, 78"
Temptation,"Chapter 2 - Text 60, 61, 70; Chapter 7 - Text 14"
Forgetfulness,Chapter 15 - Text 15; Chapter 18 - Text 61
Losing Hope,"Chapter 4 - Text 11; Chapter 9 - Text 22, 34; Chapter 18 - Text 66, 78"
